country,date,gdp,population,inflation,poverty,unemployment,life_expectancy,literacy,gdp_per_capita,population_millions,gdp_billions,high_unemployment,high_inflation,development_score
Uganda,1970-01-01 00:00:00.000001964,589247687.30035,8586363.0,5.946570077545658,70.24,3.1274285714285712,47.846,71.3237656509463,68.62599301943675,8.586363,0.5892476873003499,False,False,13.133103746320025
Uganda,1970-01-01 00:00:00.000001965,884502309.953801,8849203.0,5.946570077545658,70.24,3.1274285714285712,48.303,71.3237656509463,99.9527652325075,8.849203,0.8845023099538011,False,False,13.183467430256838
Uganda,1970-01-01 00:00:00.000001966,925381492.370153,9122864.0,5.946570077545658,70.24,3.1274285714285712,48.463,71.3237656509463,101.43541462090775,9.122864,0.925381492370153,False,False,13.201100229884608
Uganda,1970-01-01 00:00:00.000001967,967240655.186896,9408924.0,5.946570077545658,70.24,3.1274285714285712,49.006,71.3237656509463,102.8003473284401,9.408924,0.967240655186896,False,False,13.260941543621344
Uganda,1970-01-01 00:00:00.000001968,1037379252.41495,9708632.0,5.946570077545658,70.24,3.1274285714285712,49.285,71.3237656509463,106.8512281045311,9.708632,1.03737925241495,False,False,13.291688737972263
Uganda,1970-01-01 00:00:00.000001969,1168556628.86742,10014858.0,5.946570077545658,70.24,3.1274285714285712,49.505,71.3237656509463,116.68229633085362,10.014858,1.16855662886742,False,False,13.315933837460447
Uganda,1970-01-01 00:00:00.000001970,1259554808.90382,10321603.0,5.946570077545658,70.24,3.1274285714285712,49.621,71.3237656509463,122.0309295856293,10.321603,1.25955480890382,False,False,13.328717617190577
Uganda,1970-01-01 00:00:00.000001971,1417191656.16688,10618206.0,5.946570077545658,70.24,3.1274285714285712,47.147,71.3237656509463,133.46808831613174,10.618206,1.4171916561668798,False,False,13.056070452946216
Uganda,1970-01-01 00:00:00.000001972,1490970180.59639,10885796.0,5.946570077545658,70.24,3.1274285714285712,47.162,71.3237656509463,136.96473648747323,10.885796,1.49097018059639,False,False,13.057723527911318
Uganda,1970-01-01 00:00:00.000001973,1701829789.02127,11144236.0,5.946570077545658,70.24,3.1274285714285712,46.992,71.3237656509463,152.7094175878248,11.144236,1.7018297890212701,False,False,13.038988678306815
Uganda,1970-01-01 00:00:00.000001974,2098944967.20844,11424846.0,5.946570077545658,70.24,3.1274285714285712,46.861,71.3237656509463,183.7175719662602,11.424846,2.09894496720844,False,False,13.02455182361158
Uganda,1970-01-01 00:00:00.000001975,2359555555.55556,11725240.0,5.946570077545658,70.24,3.1274285714285712,46.517,71.3237656509463,201.23729284479978,11.72524,2.35955555555556,False,False,12.98664130441188
